Drone,Price ,Weight,unfolded Size (LÃ—WÃ—H),Advertised flight time (min),Battery power (mAh),Propeller diameter,propeller pitch,propeller area,downwash
Autel EVO II,2099,1150,424*354*110 mm,40,7100,22.86,7.62,410.433058068973,6.69898816616908
"Freefly Astro Legacy,22500,6950,""1407 mm diameter, 359 mm height"",38,14000,53.34,,2234.57998281997,7.05790660900647"
Walkera Voyager 4,3099,3200,466x464x367,20,4500,,,,
Mini 4K (Mini 2 SE),299,246,138Ã—81Ã—58 mm,31,2250,11.94,6.6,111.969189607328,5.93198088968673
Mini SE,299,249,138Ã—81Ã—58 mm,30,2600,11.94,6.6,111.969189607328,5.96804189593643
DJI Inspire 2,3399,4000,546 × 427 × 317 mm,27,8560,38.1,,1140.09182796937,7.49620641035716
Skycatch Explore1,,3600,,14,4500,43.18,,1464.38461459177,6.27487572374562
Holy Stone HS120D,105,219,270 Ã— 270 Ã— 120,16,1200,,,,
Agilis Quad UAV,,2500,480 mm,24,,30.48,,729.658769900397,7.40783939608857
Mini 3,419,248,145Ã—90Ã—62 mm,38,3850,15.24,7.62,182.414692475099,4.66635085873731
Veeniix V11PRO,500,600,350 Ã— 350 Ã— 83,40,3500,18.6944,,274.481414597198,5.91698694029481
Walkera Voyager 5,,5500,565x565x340,31,4300,,,,
Parrot Anafi,5376,898,320 x 440 x 118,32,3350,,,,
Mini 3 Pro,759,249,145Ã—90Ã—62 mm,34,3110,15.24,7.62,182.414692475099,4.67574935941477
FIMI X8 SE 2022 V2,549,750,334x242x72.6,47,3900,21.5,2.54,363.05030103047,5.75212994155391
Autel EVO Lite,139,835,433Ã—516Ã—95,40,6175,21.59,7.62,366.096153647942,6.04403696638793
Parrot Anafi USA,7502,2200,,32,3400,22.86,,410.433058068973,9.26555910657459
Foxtech Hover 1,2099,3800,N/A,45,22000,45.72,,1641.73223227589,6.08866518733249
Parrot Anafi Ai,4840,898,320x440x118,32,3350,,,,
T-DRONES M1200,3699,5000,,70,Custom,45.72,,1641.73223227589,6.98417796122012
Mavic Air 2,798,570,180Ã—97Ã—84 mm,34,3500,18.3,9.7,263.021990940171,5.8914589310927
Aurelia X4 Standard,3599.95,5212,835x835x335,25,10000,,,,
EVO Max 4T,7586,1620,576*660*149 (unfolded),42,8070,27.94,,613.116049707972,6.50530438274162
DJI Inspire 3,16499,4310,500.5 × 709.8 × 176 mm,28,8560,38.1,,1140.09182796937,7.78126446113017
4K HD Dual Camera Quadcopter,,1800,130x80x70,N/A,1800,,,,
Neo,199,135,130Ã—157Ã—48.5 mm,18,2600,5.08,4.06,20.2682991638999,10.3285579004749
HZH C441,4000,2300,480× 480 × 180 mm,65,,,,,
Aurelia X4 LE battery,4049,5424,835x835x335,40,16,,,,
Potensic Atom 2,3496,249,300 Ã— 242 Ã— 58,32,2600,,,,
DJI Mavic 3 Cine,1889,895,347.5Ã—290.8Ã—107.7 mm,46,5000,23.88,13.46,447.876758429314,5.65735864795714
Mavic 3 Classic,1599,895,221Ã—96.3Ã—90.3 mm,46,5000,23.88,13.46,447.876758429314,5.65735864795714
Holy Stone HS720R,400,389,305 Ã— 238 Ã— 71 (unfolded),26,2950,15.5,,188.691908756237,5.74618519675079
"BRINC Lemur 2,7500,1500,""340,4x401,3x 99"",20,8755.76036866359,,,,"
Mavic 2 Pro,1729,907,214Ã—91Ã—84 mm,31,3850,22.098,10.922,383.526890928896,6.15442085058558
DJI Phantom 4 Pro,1609,1388,289.5 Ã— 289.5 Ã— 196,30,5870,24,12.7,452.38934211693,7.0100321188031
Mini 2,449,249,138Ã—81Ã—58 mm,31,2250,11.94,6.6,111.969189607328,5.96804189593643
Action Drone AD-1,,3500,,,,,,,
DJI Phantom X,,3200,,30,6000,38.1,,1140.09182796937,6.70481084277131
Air 3S,1099,724,214.2x100.6x89.2 mm,45,4276,22.1,11.94,383.596316984948,5.49811128411879
GEPRC Cinelog25 V2,453.99,2500,114 mm diagonal,6,850,,,,
DJI Matrice 4T,7638,1420,307 Ã— 387.5 Ã— 149.5 (unfolded),49,6741,27.432,,591.023603619321,6.20330616810592
"Freefly Astro Max,20000,8700,""Diam: 1407,H: 359 mm"",38,14000,53.34,,2234.57998281997,7.89665440133973"
Mavic 3,2199,895,221Ã—96.3Ã—90.3 mm,46,5000,23.88,13.46,447.876758429314,5.65735864795714
Air 2S,999,595,180Ã—97Ã—77 mm,31,3500,18.3,9.7,263.021990940171,6.01927118050884
Mini 4 Pro,759,249,148Ã—94Ã—64 mm,34,2600,15.24,7.62,182.414692475099,4.67574935941477
Air 3,1099,720,207x100.5x91.1 mm,46,4241,22.1,11.94,383.596316984948,5.48290209513728
Flip,489,249,132x66x165 mm,31,3850,10.16,5.59,81.0731966555996,7.01362403912215
FIMI X8 Tele Pro,199,750,334 Ã— 242 Ã—72.6,47,5000,21.59,2.54,366.096153647942,5.72815163239505
Mavic 3 Pro,2199,958,221Ã—96.3Ã—90.3 mm,43,5000,23.88,13.46,447.876758429314,5.85308658323508
